D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag,tail_mode,coulomb_order,whittaker_dps,coulomb_A,coulomb_B,coulomb_k_real,coulomb_k_imag,coulomb_next_term_abs,whittaker_kappa_real,whittaker_kappa_imag,whittaker_mu,whittaker_x_abs,whittaker_U_abs,whittaker_U_shift_abs,branch_id,anchor_E_real,anchor_E_imag,branch_pick_dist,case_key
6.0,1.0,3.0,80.0,800.0,1200.0,0.0666666666666666,odd,0.0066725564455934,1.0033307313371764,0.0065926401437956,-0.0015654435342973,1.0032912083658676,-0.0007801541173908,0.0015603082347817,0.0015603082347817,0.0,11.661869046391256,7.448577889760137e-11,20947733.35090946,5.0,1.0,30.0,0.0066725564455934,-0.001,2.667811195701359e-07,0.0015674820810352,1.0,1802.0,0.0,0.005228319698319,0.009710876094903,0.0805210560228671,0.0155966665325543,0.0976419577853618,whittaker,6.0,50.0,0.16,2.0064,0.0817575426331634,-0.0095736948780454,,0.1130314466241207,-0.9652671652876348,1.502131818450032,131.7058677973024,1.9491547609857694e-05,1.489629123204114e-07,6.0,0.0035016243975835,-0.0018378939529164,0.003102999770212184,Rtail=800;R=80;parity=odd
6.0,1.0,3.0,100.0,800.0,1200.0,0.0833333333333333,even,0.0047954511020069,1.0023948578788735,0.0048913804928334,-0.0013098846768973,1.002442919748639,-0.0006533462659529,0.0013066925319058,0.0013066925319058,0.0,11.692617169470404,6.997785058507598e-11,18672944.66721564,5.0,1.0,41.0,0.0047954511020069,-1e-05,8.799700926117862e-08,0.0013133926734967,1.0,1706.0,0.0,0.0021637108538228,0.0094621488709244,0.0691198969311582,0.0184720214566966,0.0716376265785836,whittaker,6.0,50.0,0.16,2.0064,0.0705518050481307,-0.0092831407786362,,0.1466607995624129,-1.1146210518257782,1.502131818450032,113.85586844585352,2.302390112882758e-05,2.039962541012083e-07,6.0,0.0035016243975835,-0.0018378939529164,0.0014866794543029317,Rtail=800;R=100;parity=even
6.0,1.0,3.0,100.0,800.0,1200.0,0.0833333333333333,odd,0.0047954511020069,1.0023948578788735,0.004891380441855,-0.0013098846845399,1.0024429197232148,-0.0006533462697814,0.0013066925395628,0.0013066925395628,0.0,11.692617169470404,6.997785058507598e-11,18672944.776637033,5.0,1.0,39.0,0.0047954511020069,-0.0001,1.3291885058389646e-07,0.0013133926773954,1.0,1706.0,0.0,0.0021637095705754,0.0094621489746901,0.0691198965765597,0.0184720193275993,0.0716376177806513,whittaker,6.0,50.0,0.16,2.0064,0.070551804700001,-0.0092831408786056,,0.1466608025107632,-1.1146210567299937,1.502131818450032,113.85586791447224,2.302390140331377e-05,2.0399625749754898e-07,6.0,0.0035016243975835,-0.0018378939529164,0.0014866794039336978,Rtail=800;R=100;parity=odd
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,even,0.0036896268385553,1.0018431148830416,0.0034597665381007,-0.0010622455538093,1.0017285299205672,-0.0005302062994519,0.0010604125989039,0.0010604125989039,0.0,11.671823592173032,7.290923781707111e-11,14544283.147830147,5.0,1.0,56.0,0.0036896268385553,-0.0001,7.313576527725479e-08,0.0010868308857926,1.0,1658.0,0.0,0.0010190267536477,0.0091705938837735,0.0577964773699441,0.0085181378839371,0.0554164067869261,whittaker,6.0,50.0,0.16,2.0064,0.0594934064503114,-0.0089274225261962,,0.1973366628446541,-1.315075012492693,1.502131818450032,96.25518462451458,2.7491993116493113e-05,2.8913407953833324e-07,6.0,0.0035016243975835,-0.0018378939529164,0.0007767770075368407,Rtail=800;R=120;parity=even
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,odd,0.0036896268385553,1.0018431148830416,0.0034597665623006,-0.0010622455933506,1.0017285299326566,-0.0005302063191821,0.0010604126383642,0.0010604126383642,0.0,11.671823592173032,7.290923781707111e-11,14544283.689054923,5.0,1.0,55.0,0.0036896268385553,-0.0001,1.1673416847821647e-08,0.0010868309193212,1.0,1658.0,0.0,0.0010190264359977,0.0091705941851602,0.057796477627047,0.0085181364293502,0.0554164036280585,whittaker,6.0,50.0,0.16,2.0064,0.059493406697984,-0.0089274228213479,,0.1973366674746525,-1.3150750053442326,1.502131818450032,96.2551850864821,2.7491993634880763e-05,2.891340835425477e-07,6.0,0.0035016243975835,-0.0018378939529164,0.000776776966748942,Rtail=800;R=120;parity=odd
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010386311090284,1.0051797406883427,0.0092614760389061,-0.0033160702851386,1.00462142117575,-0.0016504079124939,0.0033008158249878,0.0033008158249878,0.0,11.653338743215444,7.590708309625106e-11,43484951.47419053,5.0,1.0,39.0,0.010386311090284,-0.001,3.1172058935334896e-08,0.0035016533278992,1.0,878.0,0.0,0.0039476584691159,0.0173072448343013,0.0956433110524272,0.0107511056361269,0.0995746678020173,whittaker,6.0,50.0,0.16,2.0064,0.0977208127799589,-0.0169670625468782,,0.1379823218695886,-0.7947011808972785,1.502131818450032,79.3462829348741,7.214421722753539e-05,9.165245867886172e-07,7.0,0.003501624401755,-0.0018378939523014,0.005946502850663761,Rtail=400;R=60;parity=even
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010386311090284,1.0051797406883427,0.010772654646807,-0.0036291617273143,1.0053735187714588,-0.0018048822947659,0.0036097645895319,0.0036097645895319,0.0,11.653338743215444,7.590708309625106e-11,47555042.853573054,5.0,1.0,46.0,0.010386311090284,-0.001,6.796451470879656e-08,0.0036496679556735,1.0,890.0,0.0,0.0042440407010086,0.0175447710440008,0.1032821614952602,0.0326685700770268,0.1061573683214909,whittaker,6.0,50.0,0.16,2.0064,0.1052145234516314,-0.0172464865507979,,0.1213736005002024,-0.7404560632464978,1.502131818450032,85.29492268500208,6.483064905145279e-05,7.653527790534968e-07,7.0,0.003501624401755,-0.0018378939523014,0.007488425806954397,Rtail=400;R=60;parity=odd
6.0,1.0,3.0,80.0,400.0,1200.0,0.0666666666666666,even,0.0066725564455934,1.0033307313371764,0.0066008777080276,-0.0027049482824944,1.00329591591713,-0.0013480311439431,0.0026960622878862,0.0026960622878862,0.0,11.661869046391256,7.448577889760137e-11,36195664.8341234,5.0,1.0,19.0,0.0066725564455934,-0.002,4.192698012108388e-09,0.0027058978274111,1.0,794.0,0.0,0.0011592010795197,0.0167761551191751,0.0804279166649492,0.0222319776424916,0.075703424407972,whittaker,6.0,50.0,0.16,2.0064,0.0828688225729531,-0.0163206631789243,,0.1830284838684641,-0.9293344755180484,1.502131818450032,67.56854085138727,9.103284631629872e-05,1.36214110409952e-06,7.0,0.003501624401755,-0.0018378939523014,0.0032182532945602767,Rtail=400;R=80;parity=even
6.0,1.0,3.0,80.0,400.0,1200.0,0.0666666666666666,odd,0.0066725564455934,1.0033307313371764,0.0066008777113058,-0.0027049482904822,1.003295915918769,-0.0013480311479216,0.0026960622958433,0.0026960622958433,0.0,11.661869046391256,7.448577889760137e-11,36195664.9409513,5.0,1.0,21.0,0.0066725564455934,-0.002,3.187904915413587e-09,0.0027058978353093,1.0,794.0,0.0,0.0011592011530364,0.0167761551627124,0.0804279166943948,0.0222319780000985,0.0757034248283778,whittaker,6.0,50.0,0.16,2.0064,0.0828688226011313,-0.0163206632215702,,0.1830284841911781,-0.929334475044296,1.502131818450032,67.56854088009747,9.103284640644593e-05,1.362141104839704e-06,7.0,0.003501624401755,-0.0018378939523014,0.003218253299869314,Rtail=400;R=80;parity=odd
6.0,1.0,3.0,100.0,400.0,1200.0,0.0833333333333333,even,0.0047954511020069,1.0023948578788735,0.0044173683334497,-0.0021188553782595,1.0022068078909876,-0.0010570948837986,0.0021141897675973,0.0021141897675973,0.0,11.692617169470404,6.997785058507598e-11,30212270.73882464,5.0,1.0,35.0,0.0047954511020069,-0.0001,6.917457765001663e-10,0.002152323092349,1.0,746.0,0.0,0.0004108214724373,0.0161635623877757,0.0653029435186861,0.0182025879182236,0.0579425051611153,whittaker,6.0,50.0,0.16,2.0064,0.0682518222149058,-0.0155223355911863,,0.2534644687440498,-1.1144851080488911,1.502131818450032,55.99573776842967,0.0001183005517358,2.1464714319894716e-06,7.0,0.003501624401755,-0.0018378939523014,0.0009578759164485115,Rtail=400;R=100;parity=even
6.0,1.0,3.0,100.0,400.0,1200.0,0.0833333333333333,odd,0.0047954511020069,1.0023948578788735,0.0044173683350498,-0.0021188553800381,1.002206807891787,-0.0010570948846851,0.0021141897693703,0.0021141897693703,0.0,11.692617169470404,6.997785058507598e-11,30212270.764161397,5.0,1.0,37.0,0.0047954511020069,-0.0001,1.778784098988191e-09,0.0021523230938189,1.0,746.0,0.0,0.0004108214829175,0.016163562397766,0.0653029435334078,0.0182025879799342,0.0579425052867447,whittaker,6.0,50.0,0.16,2.0064,0.0682518222288696,-0.0155223356010404,,0.2534644687905176,-1.1144851077737146,1.502131818450032,55.9957377810707,0.0001183005517565,2.1464714318553774e-06,7.0,0.003501624401755,-0.0018378939523014,0.0009578759184999257,Rtail=400;R=100;parity=odd
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.0036896268385553,1.0018431148830416,0.0035016243975835,-0.0018378939529164,1.0017497022279305,-0.0009173419012897,0.0018346838025795,0.0018346838025795,0.0,11.671823592173032,7.290923781707111e-11,25163941.600688983,5.0,1.0,26.0,0.0037108663766764,-0.0021529310657089,3.2013312523637407e-10,0.0018474845330822,1.0,698.0,0.0,0.000125415664407,0.0158305823699643,0.0577728261502727,0.0184072891622604,0.0499236200451656,whittaker,6.0,50.0,0.16,2.0064,0.0610584585813585,-0.0150502812846766,,0.3044576940576904,-1.2351740908207796,1.502131818450032,50.30878304919323,0.0001365785872657,2.768369495792718e-06,7.0,0.003501624401755,-0.0018378939523014,4.216590668738762e-12,Rtail=400;R=120;parity=even
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,odd,0.0036896268385553,1.0018431148830416,0.003501624401755,-0.0018378939523014,1.001749702230012,-0.0009173419009809,0.0018346838019618,0.0018346838019618,0.0,11.671823592173032,7.290923781707111e-11,25163941.59221677,5.0,1.0,25.0,0.003710866373875,-0.0021529310671733,1.4817448799152575e-09,0.0018474845320459,1.0,698.0,0.0,0.0001254156594338,0.0158305823558312,0.057772826182537,0.018407289132882,0.0499236200263097,whittaker,6.0,50.0,0.16,2.0064,0.0610584586123912,-0.0150502812719915,,0.3044576935387224,-1.2351740903841804,1.502131818450032,50.3087830708692,0.0001365785870569,2.768369490354154e-06,7.0,0.003501624401755,-0.0018378939523014,0.0,Rtail=400;R=120;parity=odd
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,even,0.010386311090284,1.0051797406883427,0.0100336639045976,-0.0020046965244911,1.0050048052745606,-0.0009973566862416,0.0019947133724832,0.0019947133724832,0.0,11.653338743215444,7.590708309625106e-11,26278356.262932383,5.0,1.0,59.0,0.010386311090284,-1e-05,9.81366517228877e-07,0.0020354773869732,1.0,2018.0,0.0,0.0153208458595052,0.0100515756825888,0.0996566608689345,0.0041761534887153,0.1487356088779853,whittaker,6.0,50.0,0.16,2.0064,0.1006618953853834,-0.0099575739003133,,0.0778545945862338,-0.7870382016712196,1.502131818450032,161.8451246687051,1.5120850976878522e-05,9.38323897474864e-08,7.0,0.003501624401755,-0.0018378939523014,0.006534168896254925,Rtail=800;R=60;parity=even
6.0,1.0,3.0,60.0,800.0,1200.0,0.05,odd,0.010386311090284,1.0051797406883427,0.0100336639072853,-0.0020046965768186,1.0050048052759235,-0.0009973567122737,0.0019947134245475,0.0019947134245475,0.0,11.653338743215444,7.590708309625106e-11,26278356.94882703,5.0,1.0,57.0,0.010386311090284,-0.001,5.710553669260547e-07,0.0020354774380438,1.0,2018.0,0.0,0.015320850384986,0.0100515759411446,0.0996566609084815,0.0041761206649885,0.1487356215710019,whittaker,6.0,50.0,0.16,2.0064,0.100661895424066,-0.0099575741564042,,0.0778545964904508,-0.7870382009823399,1.502131818450032,161.84512477063225,1.5120851091858596e-05,9.383239039946897e-08,7.0,0.003501624401755,-0.0018378939523014,0.006534168900277553,Rtail=800;R=60;parity=odd
6.0,1.0,3.0,80.0,800.0,1200.0,0.0666666666666666,even,0.0066725564455934,1.0033307313371764,0.0065926401457866,-0.0015654435713835,1.003291208366874,-0.0007801541358723,0.0015603082717446,0.0015603082717446,0.0,11.661869046391256,7.448577889760137e-11,20947733.847151067,5.0,1.0,40.0,0.0066725564455934,-0.0001,2.024654567675756e-07,0.0015674821179716,1.0,1802.0,0.0,0.0052283162111556,0.0097108763204339,0.0805210560624036,0.0155966616674601,0.0976419406977684,whittaker,6.0,50.0,0.16,2.0064,0.0817575426713744,-0.0095736951003767,,0.1130314490738274,-0.9652671642422632,1.502131818450032,131.70586789939796,1.9491547797176415e-05,1.4896291363056736e-07,7.0,0.003501624401755,-0.0018378939523014,0.003102999764729855,Rtail=800;R=80;parity=even
6.0,1.0,3.0,80.0,800.0,1200.0,0.0666666666666666,odd,0.0066725564455934,1.0033307313371764,0.0065926401437956,-0.0015654435342973,1.0032912083658676,-0.0007801541173908,0.0015603082347817,0.0015603082347817,0.0,11.661869046391256,7.448577889760137e-11,20947733.35090946,5.0,1.0,30.0,0.0066725564455934,-0.001,2.667811195701359e-07,0.0015674820810352,1.0,1802.0,0.0,0.005228319698319,0.009710876094903,0.0805210560228671,0.0155966665325543,0.0976419577853618,whittaker,6.0,50.0,0.16,2.0064,0.0817575426331634,-0.0095736948780454,,0.1130314466241207,-0.9652671652876348,1.502131818450032,131.7058677973024,1.9491547609857694e-05,1.489629123204114e-07,7.0,0.003501624401755,-0.0018378939523014,0.0031029997660027963,Rtail=800;R=80;parity=odd
6.0,1.0,3.0,100.0,800.0,1200.0,0.0833333333333333,even,0.0047954511020069,1.0023948578788735,0.0048913804928334,-0.0013098846768973,1.002442919748639,-0.0006533462659529,0.0013066925319058,0.0013066925319058,0.0,11.692617169470404,6.997785058507598e-11,18672944.66721564,5.0,1.0,41.0,0.0047954511020069,-1e-05,8.799700926117862e-08,0.0013133926734967,1.0,1706.0,0.0,0.0021637108538228,0.0094621488709244,0.0691198969311582,0.0184720214566966,0.0716376265785836,whittaker,6.0,50.0,0.16,2.0064,0.0705518050481307,-0.0092831407786362,,0.1466607995624129,-1.1146210518257782,1.502131818450032,113.85586844585352,2.302390112882758e-05,2.039962541012083e-07,7.0,0.003501624401755,-0.0018378939523014,0.001486679450184967,Rtail=800;R=100;parity=even
6.0,1.0,3.0,100.0,800.0,1200.0,0.0833333333333333,odd,0.0047954511020069,1.0023948578788735,0.004891380441855,-0.0013098846845399,1.0024429197232148,-0.0006533462697814,0.0013066925395628,0.0013066925395628,0.0,11.692617169470404,6.997785058507598e-11,18672944.776637033,5.0,1.0,39.0,0.0047954511020069,-0.0001,1.3291885058389646e-07,0.0013133926773954,1.0,1706.0,0.0,0.0021637095705754,0.0094621489746901,0.0691198965765597,0.0184720193275993,0.0716376177806513,whittaker,6.0,50.0,0.16,2.0064,0.070551804700001,-0.0092831408786056,,0.1466608025107632,-1.1146210567299937,1.502131818450032,113.85586791447224,2.302390140331377e-05,2.0399625749754898e-07,7.0,0.003501624401755,-0.0018378939523014,0.0014866793998157333,Rtail=800;R=100;parity=odd
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,even,0.0036896268385553,1.0018431148830416,0.0034597665381007,-0.0010622455538093,1.0017285299205672,-0.0005302062994519,0.0010604125989039,0.0010604125989039,0.0,11.671823592173032,7.290923781707111e-11,14544283.147830147,5.0,1.0,56.0,0.0036896268385553,-0.0001,7.313576527725479e-08,0.0010868308857926,1.0,1658.0,0.0,0.0010190267536477,0.0091705938837735,0.0577964773699441,0.0085181378839371,0.0554164067869261,whittaker,6.0,50.0,0.16,2.0064,0.0594934064503114,-0.0089274225261962,,0.1973366628446541,-1.315075012492693,1.502131818450032,96.25518462451458,2.7491993116493113e-05,2.8913407953833324e-07,7.0,0.003501624401755,-0.0018378939523014,0.0007767770071475221,Rtail=800;R=120;parity=even
6.0,1.0,3.0,120.0,800.0,1200.0,0.1,odd,0.0036896268385553,1.0018431148830416,0.0034597665623006,-0.0010622455933506,1.0017285299326566,-0.0005302063191821,0.0010604126383642,0.0010604126383642,0.0,11.671823592173032,7.290923781707111e-11,14544283.689054923,5.0,1.0,55.0,0.0036896268385553,-0.0001,1.1673416847821647e-08,0.0010868309193212,1.0,1658.0,0.0,0.0010190264359977,0.0091705941851602,0.057796477627047,0.0085181364293502,0.0554164036280585,whittaker,6.0,50.0,0.16,2.0064,0.059493406697984,-0.0089274228213479,,0.1973366674746525,-1.3150750053442326,1.502131818450032,96.2551850864821,2.7491993634880763e-05,2.891340835425477e-07,7.0,0.003501624401755,-0.0018378939523014,0.0007767769663596234,Rtail=800;R=120;parity=odd
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,even,0.010386311090284,1.0051797406883427,0.0092614760389061,-0.0033160702851386,1.00462142117575,-0.0016504079124939,0.0033008158249878,0.0033008158249878,0.0,11.653338743215444,7.590708309625106e-11,43484951.47419053,5.0,1.0,39.0,0.010386311090284,-0.001,3.1172058935334896e-08,0.0035016533278992,1.0,878.0,0.0,0.0039476584691159,0.0173072448343013,0.0956433110524272,0.0107511056361269,0.0995746678020173,whittaker,6.0,50.0,0.16,2.0064,0.0977208127799589,-0.0169670625468782,,0.1379823218695886,-0.7947011808972785,1.502131818450032,79.3462829348741,7.214421722753539e-05,9.165245867886172e-07,8.0,0.0100336639045976,-0.0020046965244911,0.001521832855485766,Rtail=400;R=60;parity=even
6.0,1.0,3.0,60.0,400.0,1200.0,0.05,odd,0.010386311090284,1.0051797406883427,0.010772654646807,-0.0036291617273143,1.0053735187714588,-0.0018048822947659,0.0036097645895319,0.0036097645895319,0.0,11.653338743215444,7.590708309625106e-11,47555042.853573054,5.0,1.0,46.0,0.010386311090284,-0.001,6.796451470879656e-08,0.0036496679556735,1.0,890.0,0.0,0.0042440407010086,0.0175447710440008,0.1032821614952602,0.0326685700770268,0.1061573683214909,whittaker,6.0,50.0,0.16,2.0064,0.1052145234516314,-0.0172464865507979,,0.1213736005002024,-0.7404560632464978,1.502131818450032,85.29492268500208,6.483064905145279e-05,7.653527790534968e-07,8.0,0.0100336639045976,-0.0020046965244911,0.0017846552922776487,Rtail=400;R=60;parity=odd
6.0,1.0,3.0,80.0,400.0,1200.0,0.0666666666666666,even,0.0066725564455934,1.0033307313371764,0.0066008777080276,-0.0027049482824944,1.00329591591713,-0.0013480311439431,0.0026960622878862,0.0026960622878862,0.0,11.661869046391256,7.448577889760137e-11,36195664.8341234,5.0,1.0,19.0,0.0066725564455934,-0.002,4.192698012108388e-09,0.0027058978274111,1.0,794.0,0.0,0.0011592010795197,0.0167761551191751,0.0804279166649492,0.0222319776424916,0.075703424407972,whittaker,6.0,50.0,0.16,2.0064,0.0828688225729531,-0.0163206631789243,,0.1830284838684641,-0.9293344755180484,1.502131818450032,67.56854085138727,9.103284631629872e-05,1.36214110409952e-06,8.0,0.0100336639045976,-0.0020046965244911,0.0035034802120103717,Rtail=400;R=80;parity=even
6.0,1.0,3.0,80.0,400.0,1200.0,0.0666666666666666,odd,0.0066725564455934,1.0033307313371764,0.0066008777113058,-0.0027049482904822,1.003295915918769,-0.0013480311479216,0.0026960622958433,0.0026960622958433,0.0,11.661869046391256,7.448577889760137e-11,36195664.9409513,5.0,1.0,21.0,0.0066725564455934,-0.002,3.187904915413587e-09,0.0027058978353093,1.0,794.0,0.0,0.0011592011530364,0.0167761551627124,0.0804279166943948,0.0222319780000985,0.0757034248283778,whittaker,6.0,50.0,0.16,2.0064,0.0828688226011313,-0.0163206632215702,,0.1830284841911781,-0.929334475044296,1.502131818450032,67.56854088009747,9.103284640644593e-05,1.362141104839704e-06,8.0,0.0100336639045976,-0.0020046965244911,0.003503480210394867,Rtail=400;R=80;parity=odd
6.0,1.0,3.0,100.0,400.0,1200.0,0.0833333333333333,even,0.0047954511020069,1.0023948578788735,0.0044173683334497,-0.0021188553782595,1.0022068078909876,-0.0010570948837986,0.0021141897675973,0.0021141897675973,0.0,11.692617169470404,6.997785058507598e-11,30212270.73882464,5.0,1.0,35.0,0.0047954511020069,-0.0001,6.917457765001663e-10,0.002152323092349,1.0,746.0,0.0,0.0004108214724373,0.0161635623877757,0.0653029435186861,0.0182025879182236,0.0579425051611153,whittaker,6.0,50.0,0.16,2.0064,0.0682518222149058,-0.0155223355911863,,0.2534644687440498,-1.1144851080488911,1.502131818450032,55.99573776842967,0.0001183005517358,2.1464714319894716e-06,8.0,0.0100336639045976,-0.0020046965244911,0.005617455668395544,Rtail=400;R=100;parity=even
6.0,1.0,3.0,100.0,400.0,1200.0,0.0833333333333333,odd,0.0047954511020069,1.0023948578788735,0.0044173683350498,-0.0021188553800381,1.002206807891787,-0.0010570948846851,0.0021141897693703,0.0021141897693703,0.0,11.692617169470404,6.997785058507598e-11,30212270.764161397,5.0,1.0,37.0,0.0047954511020069,-0.0001,1.778784098988191e-09,0.0021523230938189,1.0,746.0,0.0,0.0004108214829175,0.016163562397766,0.0653029435334078,0.0182025879799342,0.0579425052867447,whittaker,6.0,50.0,0.16,2.0064,0.0682518222288696,-0.0155223356010404,,0.2534644687905176,-1.1144851077737146,1.502131818450032,55.9957377810707,0.0001183005517565,2.1464714318553774e-06,8.0,0.0100336639045976,-0.0020046965244911,0.005617455666831919,Rtail=400;R=100;parity=odd
6.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.0036896268385553,1.0018431148830416,0.0035016243975835,-0.0018378939529164,1.0017497022279305,-0.0009173419012897,0.0018346838025795,0.0018346838025795,0.0,11.671823592173032,7.290923781707111e-11,25163941.600688983,5.0,1.0,26.0,0.0037108663766764,-0.0021529310657089,3.2013312523637407e-10,0.0018474845330822,1.0,698.0,0.0,0.000125415664407,0.0158305823699643,0.0577728261502727,0.0184072891622604,0.0499236200451656,whittaker,6.0,50.0,0.16,2.0064,0.0610584585813585,-0.0150502812846766,,0.3044576940576904,-1.2351740908207796,1.502131818450032,50.30878304919323,0.0001365785872657,2.768369495792718e-06,8.0,0.0100336639045976,-0.0020046965244911,0.006534168900409366,Rtail=400;R=120;parity=even
